Date,Participant,Session,Block,Trial,Target,Stimulus,Stimulus Color,Reaction Time,stimulus presentation,blank presentation,jitter
20170201,122,1,1,6,D,x,cyan,0.0,0.4,0.1,0.012280906724485764
20170201,122,1,1,7,D,x,magenta,0.0,0.4,0.1,0.13345084695801
20170201,122,1,1,8,D,G,black,0.0,0.4,0.1,0.013935594295046783
20170201,122,1,1,9,D,d,cyan,0.42997217178344727,0.4,0.1,0.18727473340055348
20170201,122,1,1,10,D,f,magenta,0.0,0.4,0.1,0.09745896702436951
20170201,122,1,1,11,D,r,yellow,0.0,0.4,0.1,0.008494602537253848
20170201,122,1,1,12,D,F,cyan,0.0,0.4,0.1,0.09126851441499251
20170201,122,1,1,13,D,t,black,0.0,0.4,0.1,0.07452047939070579
20170201,122,1,1,14,D,r,yellow,0.0,0.4,0.1,0.13991817958216723
20170201,122,1,1,15,D,F,yellow,0.0,0.4,0.1,0.153324758430561
20170201,122,1,1,16,D,s,red,0.0,0.4,0.1,0.19837706002866648
20170201,122,1,1,17,D,S,cyan,0.0,0.4,0.1,0.19692612094513598
20170201,122,1,1,18,D,A,black,0.0,0.4,0.1,0.14980245172298084
20170201,122,1,1,19,D,F,magenta,0.0,0.4,0.1,0.1915562006298465
20170201,122,1,1,20,D,W,black,0.0,0.4,0.1,0.17898615145321012
20170201,122,1,1,21,D,x,red,0.0,0.4,0.1,0.12113502129598225
20170201,122,1,1,22,D,s,red,0.0,0.4,0.1,0.18693903620699642
20170201,122,1,1,23,D,X,red,0.0,0.4,0.1,0.13055332729041896
20170201,122,1,1,24,D,P,black,0.0,0.4,0.1,0.15544531658724892
20170201,122,1,1,25,D,w,black,0.0,0.4,0.1,0.16955701217460023
20170201,122,1,1,26,D,w,red,0.0,0.4,0.1,0.04205316014222225
20170201,122,1,1,27,D,p,magenta,0.0,0.4,0.1,0.10853344692525815
20170201,122,1,1,28,D,T,yellow,0.0,0.4,0.1,0.046258066886386943
20170201,122,1,1,29,D,P,cyan,0.0,0.4,0.1,0.08382631068723818
20170201,122,1,2,0,T,Q,red,0.0,0.4,0.1,0.059899482829778465
20170201,122,1,2,1,T,w,magenta,0.0,0.4,0.1,0.09179151859319652
20170201,122,1,2,2,T,T,yellow,0.0,0.4,0.1,0.018083494165928204
20170201,122,1,2,3,T,X,yellow,0.47965312004089355,0.4,0.1,0.13357870724200324
20170201,122,1,2,4,T,q,magenta,0.51353001594543457,0.4,0.1,0.055874150445877895
20170201,122,1,2,5,T,H,yellow,0.0,0.4,0.1,0.1874355455452779
20170201,122,1,2,6,T,d,magenta,0.0,0.4,0.1,0.15786055944781469
20170201,122,1,2,7,T,s,cyan,0.0,0.4,0.1,0.16649838797140104
20170201,122,1,2,8,T,s,black,0.0,0.4,0.1,0.10820012248698302
20170201,122,1,2,9,T,x,magenta,0.42997217178344727,0.4,0.1,0.03816337136578163
20170201,122,1,2,10,T,t,black,0.0,0.4,0.1,0.04423389251190444
20170201,122,1,2,11,T,p,red,0.0,0.4,0.1,0.10682453856261637
20170201,122,1,2,12,T,G,black,0.0,0.4,0.1,0.024403604639512546
20170201,122,1,2,13,T,F,red,0.0,0.4,0.1,0.028100735270588963
20170201,122,1,2,14,T,p,yellow,0.0,0.4,0.1,0.08491297515913221
20170201,122,1,2,15,T,t,magenta,0.0,0.4,0.1,0.09001982369739821
20170201,122,1,2,16,T,x,yellow,0.0,0.4,0.1,0.17709152039798415
20170201,122,1,2,17,T,x,black,0.0,0.4,0.1,0.03695246418269893
20170201,122,1,2,18,T,H,yellow,0.0,0.4,0.1,0.16170840127923425
20170201,122,1,2,19,T,W,red,0.0,0.4,0.1,0.07836918301547974
