Participant,Session,Block,Stim ID,Stim Type,Response Time,Stimulus time,blank time,blank jitter
0,0,0,0,1,0.40046596527099609,0.5,0.3,0.26117270207272825
0,0,0,1,2,0.24799799919128418,0.5,0.3,0.01750259569591961
0,0,0,2,1,0.23141717910766602,0.5,0.3,0.1131761581551566
0,0,0,3,1,0.24796915054321289,0.5,0.3,0.025558940701320542
0,0,0,4,1,0.24798703193664551,0.5,0.3,0.0068335055666408845
0,0,0,5,1,0.24801516532897949,0.5,0.3,0.25820259952831615
0,0,0,6,2,0.03135991096496582,0.5,0.3,0.1241979397510861
0,0,0,7,1,0.23136210441589355,0.5,0.3,0.2970632224535362
0,0,0,8,1,0.29803895950317383,0.5,0.3,0.1563696500198589
0,0,0,9,1,0.2646639347076416,0.5,0.3,0.12229555915687589
0,0,0,10,1,0.26472091674804688,0.5,0.3,0.063725072786998
0,0,0,11,1,0.29802203178405762,0.5,0.3,0.11278528784858637
0,0,0,12,1,0.31465506553649902,0.5,0.3,0.29948591925659684
0,0,0,13,1,0.2813560962677002,0.5,0.3,0.08355867588381206
0,0,0,14,1,0.24805784225463867,0.5,0.3,0.06226336632438931
0,0,0,15,1,0.2647700309753418,0.5,0.3,0.24627840850282123
0,0,0,16,1,0.34801793098449707,0.5,0.3,0.2742794546092502
0,0,0,17,1,0.29796314239501953,0.5,0.3,0.1681157338405812
0,0,0,18,1,0.28130793571472168,0.5,0.3,0.16884557497558247
0,0,0,19,1,0.43136000633239746,0.5,0.3,0.04913807309269353
0,0,0,20,1,0.23141002655029297,0.5,0.3,0.14290913743803593
0,0,0,21,1,0.24807095527648926,0.5,0.3,0.017040536485071055
0,0,0,22,1,0.23133397102355957,0.5,0.3,0.0740441273885027
0,0,0,23,1,0.24805021286010742,0.5,0.3,0.16596617252302814
0,0,0,24,1,0.2812950611114502,0.5,0.3,0.024780439680251277
0,0,0,25,1,0.26469898223876953,0.5,0.3,0.2898797948756172
0,0,0,26,2,0.76469802856445312,0.5,0.3,0.29669769519184197
0,0,0,27,1,0.28145813941955566,0.5,0.3,0.1052286302060382
0,0,0,28,1,0.29806017875671387,0.5,0.3,0.035879070032309925
0,0,0,29,1,0.23137497901916504,0.5,0.3,0.22088792480496458
0,0,0,30,2,0.79798102378845215,0.5,0.3,0.17909127419411222
0,0,0,31,1,0.24811291694641113,0.5,0.3,0.2923658047497857
0,0,0,32,1,0.33135795593261719,0.5,0.3,0.08029889846553658
0,0,0,33,2,0.0,0.5,0.3,0.10856152916243751
0,0,0,34,1,0.24805212020874023,0.5,0.3,0.2616765040658782
0,0,0,35,1,0.34786295890808105,0.5,0.3,0.27706763049872973
0,0,0,36,1,0.29799008369445801,0.5,0.3,0.2581574086045462
0,0,0,37,2,0.0,0.5,0.3,0.10135624999776723
0,0,0,38,1,0.24803614616394043,0.5,0.3,0.0630089951906808
0,0,0,39,1,0.24798917770385742,0.5,0.3,0.21299647936285487
0,0,1,0,1,0.28130888938903809,0.5,0.3,0.15787491409060453
0,0,1,1,2,0.26462602615356445,0.5,0.3,0.16886647943901578
0,0,1,2,1,0.2314300537109375,0.5,0.3,0.2395357660022029
0,0,1,3,1,0.3314049243927002,0.5,0.3,0.19862856734112033
0,0,1,4,1,0.31476998329162598,0.5,0.3,0.09101852933264444
0,0,1,5,1,0.29806900024414062,0.5,0.3,0.17694975762953688
0,0,1,6,2,0.28137922286987305,0.5,0.3,0.15951363308058067
0,0,1,7,1,0.24791121482849121,0.5,0.3,0.15128539863769938
0,0,1,8,1,0.3813471794128418,0.5,0.3,0.08623441446983866
0,0,1,9,1,0.26463699340820312,0.5,0.3,0.19967372825713006
0,0,1,10,1,0.29806900024414062,0.5,0.3,0.2774146705513208
0,0,1,11,1,0.2980492115020752,0.5,0.3,0.10813025125032873
0,0,1,12,1,0.29809999465942383,0.5,0.3,0.12243857815121123
0,0,1,13,1,0.26467800140380859,0.5,0.3,0.2246015349151436
0,0,1,14,1,0.29791092872619629,0.5,0.3,0.12283114943163853
0,0,1,15,1,0.31483697891235352,0.5,0.3,0.275700462627846
0,0,1,16,1,0.31467509269714355,0.5,0.3,0.2644581374259544
0,0,1,17,1,0.26471090316772461,0.5,0.3,0.16880497439128217
0,0,1,18,1,0.29798698425292969,0.5,0.3,0.1278597459055684
0,0,1,19,1,0.36472511291503906,0.5,0.3,0.21496978911712394
0,0,1,20,1,0.33155584335327148,0.5,0.3,0.18391330503784095
0,0,1,21,1,0.16468286514282227,0.5,0.3,0.040734437009511744
0,0,1,22,1,0.28126788139343262,0.5,0.3,0.137730451168455
0,0,1,23,1,0.31468987464904785,0.5,0.3,0.08620938949985316
0,0,1,24,1,0.41475701332092285,0.5,0.3,0.039236319982126545
0,0,1,25,1,0.24806594848632812,0.5,0.3,0.09654425507974394
0,0,1,26,2,0.76469802856445312,0.5,0.3,0.25946877141983576
0,0,1,27,1,0.21466302871704102,0.5,0.3,0.13344730493581722
0,0,1,28,1,0.24816298484802246,0.5,0.3,0.17789616342364709
